Platform,Category,Problem Name,URL,Difficulty,Key Concept
Timus,Greedy,1000 - A+B Problem,https://acm.timus.ru/problem.aspx?space=1&num=1000,Easy,Basic I/O
AtCoder,Greedy,B. A to Z String,https://atcoder.jp/contests/abc053/tasks/abc053_b,Medium,First/last character greedy
AtCoder,Greedy,B. Snake Toy,https://atcoder.jp/contests/abc067/tasks/abc067_b,Easy,Sort & select largest
AtCoder,Greedy,B. Addition and Multiplication,https://atcoder.jp/contests/abc076/tasks/abc076_b,Easy,Greedy arithmetic
AtCoder,Greedy,D. Katana Thrower,https://atcoder.jp/contests/abc085/tasks/abc085_d,Hard,Greedy throw strategy
AtCoder,Greedy,B. Maximum Sum,https://atcoder.jp/contests/abc096/tasks/abc096_b,Easy,Repeated max operation
AtCoder,Greedy,D. Patisserie ABC,https://atcoder.jp/contests/abc100/tasks/abc100_d,Hard,Multidimensional greedy
AtCoder,Greedy,B. Christmas Eve Eve,https://atcoder.jp/contests/abc115/tasks/abc115_b,Easy,Sort & pick max
AtCoder,Greedy,C. Christmas Eve,https://atcoder.jp/contests/abc115/tasks/abc115_c,Medium,Sort & min diff
AtCoder,Greedy,C. Grand Garden,https://atcoder.jp/contests/abc116/tasks/abc116_c,Hard,Greedy watering
AtCoder,Greedy,C. Streamline,https://atcoder.jp/contests/abc117/tasks/abc117_c,Hard,Sort & remove gaps
AtCoder,Greedy,C. Unification,https://atcoder.jp/contests/abc120/tasks/abc120_c,Medium,Greedy stack elimination
AtCoder,Greedy,C. Energy Drink Collector,https://atcoder.jp/contests/abc121/tasks/abc121_c,Medium,Sort by price ascending
AtCoder,Greedy,B. Five Dishes,https://atcoder.jp/contests/abc123/tasks/abc123_b,Medium,Greedy time calculation
AtCoder,Greedy,D. Megalomania,https://atcoder.jp/contests/abc131/tasks/abc131_d,Hard,Sort by deadline
AtCoder,Greedy,C. Build Stairs,https://atcoder.jp/contests/abc136/tasks/abc136_c,Medium,Greedy non-decreasing
AtCoder,Greedy,D. Summer Vacation,https://atcoder.jp/contests/abc137/tasks/abc137_d,Hard,Sort by deadline & max heap
