Platform,Category,Problem Name,URL,Difficulty,Key Concept
Codeforces,dfs and similar,2227H. Fallen Leaves,https://codeforces.com/problemset/problem/2227/H,N/A,"dfs and similar, dp, trees"
Codeforces,binary search,2227G. Drowning,https://codeforces.com/problemset/problem/2227/G,N/A,"binary search, data structures, math"
Codeforces,binary search,2227F. It Just Keeps Going Sideways,https://codeforces.com/problemset/problem/2227/F,N/A,"binary search, data structures, dp, greedy, math"
Codeforces,binary search,2227E. It All Went Sideways,https://codeforces.com/problemset/problem/2227/E,N/A,"binary search, data structures, dp, greedy"
Codeforces,binary search,2227D. Palindromex,https://codeforces.com/problemset/problem/2227/D,N/A,"binary search, brute force, constructive algorithms, data structures, greedy, implementation, two pointers"
Codeforces,constructive algorithms,2227C. Snowfall,https://codeforces.com/problemset/problem/2227/C,N/A,"constructive algorithms, math"
Codeforces,greedy,2227B. Party Monster,https://codeforces.com/problemset/problem/2227/B,N/A,greedy
Codeforces,implementation,2227A. Koshary,https://codeforces.com/problemset/problem/2227/A,N/A,"implementation, math"
Codeforces,implementation,2226G. Stop Spot,https://codeforces.com/problemset/problem/2226/G,N/A,"implementation, strings, trees"
Codeforces,math,2226F. Inversion Invasion,https://codeforces.com/problemset/problem/2226/F,N/A,"math, number theory"
Codeforces,data structures,2226E. Mental Monumental (Hard Version),https://codeforces.com/problemset/problem/2226/E,N/A,"data structures, greedy, math, two pointers"
Codeforces,constructive algorithms,2226D. Reserved Reversals,https://codeforces.com/problemset/problem/2226/D,N/A,"constructive algorithms, dp, greedy, math"
Codeforces,binary search,2226C. Mental Monumental (Easy Version),https://codeforces.com/problemset/problem/2226/C,N/A,"binary search, data structures, greedy, math, two pointers"
Codeforces,greedy,2226B. Everything Everywhere,https://codeforces.com/problemset/problem/2226/B,N/A,"greedy, math, number theory"
Codeforces,greedy,2226A. Disturbing Distribution,https://codeforces.com/problemset/problem/2226/A,N/A,"greedy, math"
Codeforces,brute force,2225G. Simple Problem,https://codeforces.com/problemset/problem/2225/G,N/A,"brute force, graphs, greedy, number theory"
Codeforces,binary search,2225F. String Cutting,https://codeforces.com/problemset/problem/2225/F,N/A,"binary search, brute force, greedy, hashing, string suffix structures, strings"
Codeforces,constructive algorithms,2225E. Covering Points with Circles,https://codeforces.com/problemset/problem/2225/E,N/A,"constructive algorithms, geometry, math"
Codeforces,bitmasks,2225D. Exceptional Segments,https://codeforces.com/problemset/problem/2225/D,N/A,"bitmasks, brute force, math"
Codeforces,dp,2225C. Red-Black Pairs,https://codeforces.com/problemset/problem/2225/C,N/A,"dp, greedy"
Codeforces,brute force,2225B. Alternating String,https://codeforces.com/problemset/problem/2225/B,N/A,"brute force, greedy"
Codeforces,greedy,2225A. A Number Between Two Others,https://codeforces.com/problemset/problem/2225/A,N/A,"greedy, math"
Codeforces,constructive algorithms,2224B. Zhily and Mex and Max,https://codeforces.com/problemset/problem/2224/B,N/A,"constructive algorithms, greedy, math, sortings"
Codeforces,constructive algorithms,2224A. Zhily and Array Operating,https://codeforces.com/problemset/problem/2224/A,N/A,"constructive algorithms, greedy"
Codeforces,divide and conquer,2223F. Zhily and Colorful Strings,https://codeforces.com/problemset/problem/2223/F,N/A,"divide and conquer, fft, math"
Codeforces,data structures,2223E. Zhily and Permutation,https://codeforces.com/problemset/problem/2223/E,N/A,"data structures, divide and conquer, trees"
Codeforces,graphs,2223D. Zhily and Cycle,https://codeforces.com/problemset/problem/2223/D,N/A,"graphs, greedy"
Codeforces,chinese remainder theorem,2223C. Zhily and Signpost,https://codeforces.com/problemset/problem/2223/C,N/A,"chinese remainder theorem, dfs and similar, math, number theory, trees"
Codeforces,binary search,2223B. Zhily and Barknights,https://codeforces.com/problemset/problem/2223/B,N/A,"binary search, data structures, dp, math, sortings, two pointers"
Codeforces,constructive algorithms,2223A. Zhily and Bracket Swapping,https://codeforces.com/problemset/problem/2223/A,N/A,"constructive algorithms, greedy"
Codeforces,brute force,2222H. Counting Sort?,https://codeforces.com/problemset/problem/2222/H,N/A,"brute force, combinatorics, dp"
Codeforces,binary search,2222G. Statistics on Tree,https://codeforces.com/problemset/problem/2222/G,N/A,"binary search, brute force, dfs and similar, divide and conquer, graphs, trees"
Codeforces,data structures,2222F. Building Tree,https://codeforces.com/problemset/problem/2222/F,N/A,"data structures, divide and conquer, dsu, graphs, implementation"
Codeforces,binary search,2222E. Seek the Truth,https://codeforces.com/problemset/problem/2222/E,N/A,"binary search, bitmasks, constructive algorithms, interactive"
Codeforces,constructive algorithms,2222D. Permutation Construction,https://codeforces.com/problemset/problem/2222/D,N/A,"constructive algorithms, data structures, sortings"
Codeforces,dp,2222C. Median Partition,https://codeforces.com/problemset/problem/2222/C,N/A,"dp, math"
Codeforces,greedy,2222B. Artistic Balance Tree,https://codeforces.com/problemset/problem/2222/B,N/A,"greedy, sortings"
Codeforces,brute force,2222A. A Wonderful Contest,https://codeforces.com/problemset/problem/2222/A,N/A,"brute force, dp, math"
Codeforces,greedy,2220B. OIE Excursion,https://codeforces.com/problemset/problem/2220/B,N/A,greedy
Codeforces,greedy,2220A. Blocked,https://codeforces.com/problemset/problem/2220/A,N/A,"greedy, sortings"
Codeforces,constructive algorithms,2219E. Weird Chessboard,https://codeforces.com/problemset/problem/2219/E,N/A,"constructive algorithms, math"
Codeforces,data structures,2219D. MEX Replacement on Tree,https://codeforces.com/problemset/problem/2219/D,N/A,"data structures, implementation, math, trees"
Codeforces,dfs and similar,2219C. Coloring a Red Black Tree,https://codeforces.com/problemset/problem/2219/C,N/A,"dfs and similar, dp, greedy, math, probabilities, trees"
Codeforces,binary search,2219B2. Unique Values (Hard version),https://codeforces.com/problemset/problem/2219/B2,N/A,"binary search, bitmasks, constructive algorithms, interactive"
Codeforces,binary search,2219B1. Unique Values (Easy version),https://codeforces.com/problemset/problem/2219/B1,N/A,"binary search, constructive algorithms, divide and conquer, interactive, math"
Codeforces,brute force,2219A. Grid L,https://codeforces.com/problemset/problem/2219/A,N/A,"brute force, constructive algorithms, math, number theory"
Codeforces,implementation,"2218G. The 67th Iteration of ""Counting is Fun""",https://codeforces.com/problemset/problem/2218/G,Medium (1800),"implementation, math"
Codeforces,constructive algorithms,2218F. The 67th Tree Problem,https://codeforces.com/problemset/problem/2218/F,Medium (1500),"constructive algorithms, implementation, trees"
Codeforces,binary search,2218E. The 67th XOR Problem,https://codeforces.com/problemset/problem/2218/E,Easy (1200),"binary search, bitmasks, brute force"
Codeforces,constructive algorithms,2218D. The 67th OEIS Problem,https://codeforces.com/problemset/problem/2218/D,Easy (1100),"constructive algorithms, greedy, math, number theory"
Codeforces,constructive algorithms,2218C. The 67th Permutation Problem,https://codeforces.com/problemset/problem/2218/C,Easy (800),"constructive algorithms, greedy, math"
Codeforces,greedy,2218B. The 67th 6-7 Integer Problem,https://codeforces.com/problemset/problem/2218/B,Easy (800),"greedy, math"
Codeforces,brute force,2218A. The 67th Integer Problem,https://codeforces.com/problemset/problem/2218/A,Easy (800),"brute force, games, implementation, math"
Codeforces,dfs and similar,2217H. Closer,https://codeforces.com/problemset/problem/2217/H,Hard (2800),"dfs and similar, dp, trees"
Codeforces,combinatorics,2217G. Down the Pivot,https://codeforces.com/problemset/problem/2217/G,Hard (2600),"combinatorics, dp, math, trees"
Codeforces,bitmasks,2217F. Interval Game,https://codeforces.com/problemset/problem/2217/F,Hard (2300),"bitmasks, combinatorics, constructive algorithms, dp, games, greedy, math, probabilities"
Codeforces,binary search,2217E. Definitely Larger,https://codeforces.com/problemset/problem/2217/E,Hard (2000),"binary search, constructive algorithms, data structures, graphs, greedy, sortings"
