Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Heap,23. Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,Heap (Priority Queue)
LeetCode,Heap,215. Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,Medium,Heap (Priority Queue)
LeetCode,Heap,218. The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,Hard,Heap (Priority Queue)
LeetCode,Heap,239. Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,Hard,Heap (Priority Queue)
LeetCode,Heap,253. Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii,Medium,Heap (Priority Queue)
LeetCode,Heap,264. Ugly Number II,https://leetcode.com/problems/ugly-number-ii,Medium,Heap (Priority Queue)
LeetCode,Heap,272. Closest Binary Search Tree Value II,https://leetcode.com/problems/closest-binary-search-tree-value-ii,Hard,Heap (Priority Queue)
LeetCode,Heap,295. Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,Hard,Heap (Priority Queue)
LeetCode,Heap,332. Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,Hard,Heap (Priority Queue)
LeetCode,Heap,347. Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Medium,Heap (Priority Queue)
LeetCode,Heap,355. Design Twitter,https://leetcode.com/problems/design-twitter,Medium,Heap (Priority Queue)
LeetCode,Heap,358. Rearrange String k Distance Apart,https://leetcode.com/problems/rearrange-string-k-distance-apart,Hard,Heap (Priority Queue)
LeetCode,Heap,373. Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Medium,Heap (Priority Queue)
LeetCode,Heap,378. Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Medium,Heap (Priority Queue)
LeetCode,Heap,407. Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii,Hard,Heap (Priority Queue)
LeetCode,Heap,420. Strong Password Checker,https://leetcode.com/problems/strong-password-checker,Hard,Heap (Priority Queue)
LeetCode,Heap,451. Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,Medium,Heap (Priority Queue)
LeetCode,Heap,480. Sliding Window Median,https://leetcode.com/problems/sliding-window-median,Hard,Heap (Priority Queue)
LeetCode,Heap,499. The Maze III,https://leetcode.com/problems/the-maze-iii,Hard,Heap (Priority Queue)
LeetCode,Heap,502. IPO,https://leetcode.com/problems/ipo,Hard,Heap (Priority Queue)
LeetCode,Heap,505. The Maze II,https://leetcode.com/problems/the-maze-ii,Medium,Heap (Priority Queue)
LeetCode,Heap,506. Relative Ranks,https://leetcode.com/problems/relative-ranks,Easy,Heap (Priority Queue)
LeetCode,Heap,621. Task Scheduler,https://leetcode.com/problems/task-scheduler,Medium,Heap (Priority Queue)
LeetCode,Heap,630. Course Schedule III,https://leetcode.com/problems/course-schedule-iii,Hard,Heap (Priority Queue)
LeetCode,Heap,632. Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Hard,Heap (Priority Queue)
LeetCode,Heap,642. Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system,Hard,Heap (Priority Queue)
LeetCode,Heap,658. Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements,Medium,Heap (Priority Queue)
LeetCode,Heap,659. Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences,Medium,Heap (Priority Queue)
LeetCode,Heap,675. Cut Off Trees for Golf Event,https://leetcode.com/problems/cut-off-trees-for-golf-event,Hard,Heap (Priority Queue)
LeetCode,Heap,683. K Empty Slots,https://leetcode.com/problems/k-empty-slots,Hard,Heap (Priority Queue)
LeetCode,Heap,692. Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,Medium,Heap (Priority Queue)
LeetCode,Heap,789. Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,Easy,Heap (Priority Queue)
LeetCode,Heap,744. Network Delay Time,https://leetcode.com/problems/network-delay-time,Medium,Heap (Priority Queue)
LeetCode,Heap,761. Employee Free Time,https://leetcode.com/problems/employee-free-time,Hard,Heap (Priority Queue)
