Platform,Category,Problem Name,URL,Difficulty,Key Concept
AlgoExpert,Binary Search,Binary Search,https://www.algoexpert.io/questions/binary-search,Easy,Implementation
AlgoExpert,Binary Search,Find Three Largest Numbers,https://www.algoexpert.io/questions/find-three-largest-numbers,Easy,Binary Search Variant
AlgoExpert,Binary Search,Index Equals Value,https://www.algoexpert.io/questions/index-equals-value,Medium,Fixed Point
AlgoExpert,Binary Search,Median of Two Sorted Arrays,https://www.algoexpert.io/questions/median-of-two-sorted-arrays,Hard,BS + Partition
AlgoExpert,Binary Search,Quickselect,https://www.algoexpert.io/questions/quickselect,Hard,Quickselect + BS
AlgoExpert,Binary Search,Search For Range,https://www.algoexpert.io/questions/search-for-range,Medium,First + Last
AlgoExpert,Binary Search,Search in Sorted Matrix,https://www.algoexpert.io/questions/search-in-sorted-matrix,Medium,2D Matrix Search
AlgoExpert,Binary Search,Shifted Binary Search,https://www.algoexpert.io/questions/shifted-binary-search,Hard,Rotated Array
AtCoder,Binary Search, Three Days Ago,https://atcoder.jp/contests/abc295/tasks/abc295_d,939,BS on answer
AtCoder,Binary Search,(K+1)-th Largest Number,https://atcoder.jp/contests/abc273/tasks/abc273_c,369,BS on answer (Kth)
AtCoder,Binary Search,(∀x∀),https://atcoder.jp/contests/abc242/tasks/abc242_e,1365,BS on answer
AtCoder,Binary Search,*3 or /2,https://atcoder.jp/contests/abc100/tasks/abc100_c,320,BS on answer
AtCoder,Binary Search,-- - B,https://atcoder.jp/contests/arc112/tasks/arc112_b,822,BS on answer (number)
AtCoder,Binary Search,. (Single Dot),https://atcoder.jp/contests/abc168/tasks/abc168_f,2478,BS on answer
AtCoder,Binary Search,.. (Double Dots),https://atcoder.jp/contests/abc168/tasks/abc168_d,804,BS on answer
AtCoder,Binary Search,01 Balanced,https://atcoder.jp/contests/agc056/tasks/agc056_c,2481,BS on answer (greedy)
AtCoder,Binary Search,01 Generation,https://atcoder.jp/contests/arc138/tasks/arc138_b,934,BS on answer (binary)
