Platform,Category,Problem Name,URL,Difficulty,Key Concept
Codeforces,Deadline Scheduling,1095C - Powers of Two,https://codeforces.com/problemset/problem/1095/C,1300,Scheduling power-of-two sums
Codeforces,Deadline Scheduling,1201C - Maximum Median,https://codeforces.com/problemset/problem/1201/C,1400,Binary search on median scheduling
Codeforces,Deadline Scheduling,1288D - Minimax,https://codeforces.com/problemset/problem/1288/D,2000,Binary search on constraints
Baekjoon,Deadline Scheduling,13904 - Homework,https://www.acmicpc.net/problem/13904,Gold 3,Deadline scheduling with max profit
LeetCode,Deadline Scheduling,1462. Course Schedule IV,https://leetcode.com/problems/course-schedule-iv/,Medium,Prerequisite checking / Floyd-Warshall
Codeforces,Deadline Scheduling,1579E2 - Array Optimization by Deque,https://codeforces.com/problemset/problem/1579/E2,1700,Scheduling with min inversions
LeetCode,Deadline Scheduling,1705. Maximum Number of Eaten Apples,https://leetcode.com/problems/maximum-number-of-eaten-apples/,Medium,Eat apples before they rot (deadline)
Baekjoon,Deadline Scheduling,1781 - Cup Noodles,https://www.acmicpc.net/problem/1781,Gold 2,Deadline scheduling with max heap
LeetCode,Deadline Scheduling,207. Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,Topological sort / prerequisite check
LeetCode,Deadline Scheduling,210. Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,Topological order output
Baekjoon,Deadline Scheduling,6068 - Time Management,https://www.acmicpc.net/problem/6068,Gold 5,Schedule with deadlines
AtCoder,Deadline Scheduling,ABC 148 F - Playing Tag on Tree,https://atcoder.jp/contests/abc148/tasks/abc148_f,1548,Tree min-max scheduling
AtCoder,Deadline Scheduling,ABC 218 F - Blocked Roads,https://atcoder.jp/contests/abc218/tasks/abc218_f,1575,Shortest path scheduling
CodeChef,Deadline Scheduling,CHEFSOCK - Chef and Socks,https://www.codechef.com/problems/CHEFSOCK,Easy,Deadline-driven choice
CodeChef,Deadline Scheduling,COOK82B - AND Graph,https://www.codechef.com/problems/COOK82B,Medium,Scheduling with graph constraints
CSES,Deadline Scheduling,Task and Deadlines,https://cses.fi/problemset/task/1630,Easy,Maximize profit with deadlines
GeeksforGeeks,Deadline Scheduling,Weighted Job Scheduling,https://www.geeksforgeeks.org/weighted-job-scheduling/,Hard,DP with binary search on jobs
GeeksforGeeks,Deadline Scheduling,Weighted Job Scheduling (Practice),https://www.geeksforgeeks.org/problems/weighted-job-scheduling/1,Hard,DP with binary search
LeetCode,Interval Scheduling,1024. Video Stitching,https://leetcode.com/problems/video-stitching/,Medium,Minimum intervals to cover range
Baekjoon,Interval Scheduling,11000 - Assign Lecture Room,https://www.acmicpc.net/problem/11000,Gold 5,Minimum classrooms for lectures
LeetCode,Interval Scheduling,1272. Remove Interval,https://leetcode.com/problems/remove-interval/,Medium,Subtract interval from set
LeetCode,Interval Scheduling,1288. Remove Covered Intervals,https://leetcode.com/problems/remove-covered-intervals/,Medium,Remove covered intervals
Baekjoon,Interval Scheduling,1374 - Lecture Room,https://www.acmicpc.net/problem/1374,Gold 5,Minimum rooms
Codeforces,Interval Scheduling,1669E - 2-Letter Strings,https://codeforces.com/problemset/problem/1669/E,1000,Count overlapping pairs
Codeforces,Interval Scheduling,1730B - Meeting on the Line,https://codeforces.com/problemset/problem/1730/B,1600,Find meeting point minimizing time
Codeforces,Interval Scheduling,1741C - Minimize the Thickness,https://codeforces.com/problemset/problem/1741/C,1100,Greedy partition scheduling
LeetCode,Interval Scheduling,1854. Maximum Population Year,https://leetcode.com/problems/maximum-population-year/,Easy,Line sweep on intervals
LeetCode,Interval Scheduling,1893. Check if All the Integers in a Range Are Covered,https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered/,Easy,Interval union
Baekjoon,Interval Scheduling,1931 - Assign Meeting Room,https://www.acmicpc.net/problem/1931,Silver 1,Maximum non-overlapping meetings
Baekjoon,Interval Scheduling,2170 - Draw a Line,https://www.acmicpc.net/problem/2170,Gold 5,Merging intervals
LeetCode,Interval Scheduling,2271. Maximum White Tiles Covered by a Carpet,https://leetcode.com/problems/maximum-white-tiles-covered-by-a-carpet/,Medium,Sliding window on intervals
LeetCode,Interval Scheduling,2406. Divide Intervals Into Minimum Number of Groups,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups/,Medium,Minimum groups for non-overlap
LeetCode,Interval Scheduling,252. Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,Easy,Check if intervals overlap
LeetCode,Interval Scheduling,253. Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,Minimum meeting rooms / min heap
LeetCode,Interval Scheduling,2580. Count Ways to Group Overlapping Ranges,https://leetcode.com/problems/count-ways-to-group-overlapping-ranges/,Medium,Merge intervals + counting
Codeforces,Interval Scheduling,289B - Polo the Penguin and Matrix,https://codeforces.com/problemset/problem/289/B,1200,Sorting and median scheduling
LeetCode,Interval Scheduling,435. Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,Remove min intervals to make non-overlapping
LeetCode,Interval Scheduling,452. Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,Overlapping intervals greedy
Codeforces,Interval Scheduling,467C - George and Job,https://codeforces.com/problemset/problem/467/C,1700,DP on interval selection
Codeforces,Interval Scheduling,500B - New Year Permutation,https://codeforces.com/problemset/problem/500/B,1400,Scheduling via graph swaps
LeetCode,Interval Scheduling,56. Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Sorting overlapping intervals
LeetCode,Interval Scheduling,57. Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,Insert and merge interval
LeetCode,Interval Scheduling,646. Maximum Length of Pair Chain,https://leetcode.com/problems/maximum-length-of-pair-chain/,Medium,Longest chain of intervals
LeetCode,Interval Scheduling,757. Set Intersection Size At Least Two,https://leetcode.com/problems/set-intersection-size-at-least-two/,Hard,Greedy interval covering
LeetCode,Interval Scheduling,759. Employee Free Time,https://leetcode.com/problems/employee-free-time/,Hard,Find gaps in intervals
